"text","created"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"@wingheart My mom died from lung cancer. She didn't have insurance either. When she started getting tumors on her l… https://t.co/yE6PUh3BPk","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"@Ssurely7 @goaliemumm @CNN You’re demonstrating your ignorance of power but it takes work. Smoking is likely to inc… https://t.co/8SX7XM8UNs","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @AustinNoel18: Who smokes and can tell me why please? It’s basically a sentence for lung cancer in the future. 90% of lung cancers are a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"Women after lung transplant study by Susan Davies @AlfredHealth : cancer screening was better than in general commu… https://t.co/5s3aiyNxkz","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @Riverbenddiva: When Karma comes knocking for Mitch, I hope it is lung cancer! This is abhorrent for him to do to these people. The suff…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @_TangelaRose: my papaw just got diagnosed with stage 4 lung cancer. hes terminal &amp; does not want to continue treatment. he wants to go…","2019-07-27"
"RT @bIackgirIs: My dad’s dad died at the age of 49 due to lung cancer. My dad has been very afraid he wouldn’t live past that age but today…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"Should we view #AI less as a threat or as a partner helping us tackle problems? #IBM Watson can diagnose lung cance… https://t.co/2EFY0jGLuD","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-27"
"Who smokes and can tell me why please? It’s basically a sentence for lung cancer in the future. 90% of lung cancers… https://t.co/sehTYGDYm0","2019-07-27"
